"NO_TABELA_CARGA","NU_SISTEMA","NO_MODULO","NU_WORKFLOW","CO_PERIODICIDADE"
"tagtbi14_esttaetco",173,"EXTRACAO DE DADOS DO SITAG",1068,"* 0 0 * * ?"
"tagtbi08_acmdoetco",173,"EXTRACAO DE DADOS DO SITAG",1068,"* 0 0 * * ?"
"tagtbi07_remessapv",173,"EXTRACAO DE DADOS DO SITAG",1068,"* 0 0 * * ?"
"decint001_conta",4,"EXTRACAO DE DADOS DO SIDEC",1004,"0 0 0 ? * 2-6 *"
"opimtv02_participante",1143,"EXTRACAO DE DADOS DO SIOPI",1007,"Eventual"
"opimtv01_proposta",1143,"EXTRACAO DE DADOS DO SIOPI",1007,"Eventual"
"cetxtb18tempoconta",1396,"EXTRACAO DE DADOS DO SICET",1055,"Eventual"
"cetxtb07prdtocesta",1396,"EXTRACAO DE DADOS DO SICET",1055,"Eventual"
"cettb052_mdlde_cesta",1396,"EXTRACAO DE DADOS DO SICET",1055,"Eventual"
"decint004_conta_cliente",4,"HAWQ CARGA SISTEMA SIDEC",3004,"0 0 0 ? * 2-6 *"
"decint005_marca",4,"HAWQ CARGA SISTEMA SIDEC",3004,"0 0 0 ? * 2-6 *"
"decint008_inadimplencia",4,"HAWQ CARGA SISTEMA SIDEC",3004,"0 0 0 ? * 2-6 *"
"decint011_conta_produto_periodo",4,"HAWQ CARGA SISTEMA SIDEC",3004,"0 0 0 ? * 2-6 *"
"opimtv01_proposta",1143,"HAWQ CARGA SISTEMA SIOPI",3007,"Eventual"
"aoimq14_inadimplencia",3138,"HAWQ CARGA SISTEMA SIAOI",3008,"Eventual"
"aoimq12_extrato",3138,"HAWQ CARGA SISTEMA SIAOI",3008,"Eventual"
"autxtb15hstrotrnsa",64,"EXTRACAO DE DADOS DO SIAUT",1090,"Eventual"
"autxtb12logpgmno",64,"EXTRACAO DE DADOS DO SIAUT",1090,"Eventual"
"autxtb10logsican",64,"EXTRACAO DE DADOS DO SIAUT",1090,"Eventual"
"auttbp22_trnsongda",64,"EXTRACAO DE DADOS DO SIAUT",1090,"Eventual"
"auttbp14_loglmecnl",64,"EXTRACAO DE DADOS DO SIAUT",1090,"Eventual"
"auttbp09_limitepre",64,"EXTRACAO DE DADOS DO SIAUT",1090,"Eventual"
"auttbp01_lmtesrvco",64,"EXTRACAO DE DADOS DO SIAUT",1090,"Eventual"
"atrtb057_cntgmpre",3040,"EXTRACAO DE DADOS DO SIATR",1105,"Eventual"
"atrtb040_prmtoatno",3040,"EXTRACAO DE DADOS DO SIATR",1105,"Eventual"
"atrtb038_locifauto",3040,"EXTRACAO DE DADOS DO SIATR",1105,"Eventual"
"atrtb033_cntapgmno",3040,"EXTRACAO DE DADOS DO SIATR",1105,"Eventual"
"atrtb032_contadoc",3040,"EXTRACAO DE DADOS DO SIATR",1105,"Eventual"
"atrtb014_cifauto",3040,"EXTRACAO DE DADOS DO SIATR",1105,"Eventual"
"sagtb099_vncco_atnto_recurso",3954,"EXTRACAO DE DADOS DO SISAG",3160,"Eventual"
"sagtb094_vncco_pgmno_rcbmo",3954,"EXTRACAO DE DADOS DO SISAG",3160,"Eventual"
"sagtb092_atendimento_integrado",3954,"EXTRACAO DE DADOS DO SISAG",3160,"Eventual"
"cetxtb18tempoconta",1396,"HAWQ CARGA SISTEMA SICET",3055,"Eventual"
"cetxtb04vrptcesta",1396,"HAWQ CARGA SISTEMA SICET",3055,"Eventual"
"tagtbi15_esttaenvo",173,"HAWQ CARGA SISTEMA SITAG",3068,"* 0 0 * * ?"
"tagtbi14_esttaetco",173,"HAWQ CARGA SISTEMA SITAG",3068,"* 0 0 * * ?"
"autxtb13logsrvco",64,"HAWQ CARGA SISTEMA SIAUT",3090,"Eventual"
"autxtb06dadoscnpj",64,"HAWQ CARGA SISTEMA SIAUT",3090,"Eventual"
"auttbp19_logsgmno",64,"HAWQ CARGA SISTEMA SIAUT",3090,"Eventual"
"auttbp11_contadtno",64,"HAWQ CARGA SISTEMA SIAUT",3090,"Eventual"
"atrtb062_darf",3040,"HAWQ CARGA SISTEMA SIATR",3105,"Eventual"
"atrtb060_msgmfncne",3040,"HAWQ CARGA SISTEMA SIATR",3105,"Eventual"
"atrtb057_cntgmpre",3040,"HAWQ CARGA SISTEMA SIATR",3105,"Eventual"
"atrtb056_rcrgacllr",3040,"HAWQ CARGA SISTEMA SIATR",3105,"Eventual"
"atrtb050_ciftdcl",3040,"HAWQ CARGA SISTEMA SIATR",3105,"Eventual"
"atrtb047_hrrocanal",3040,"HAWQ CARGA SISTEMA SIATR",3105,"Eventual"
"atrtb023_pgmncncsa",3040,"HAWQ CARGA SISTEMA SIATR",3105,"Eventual"
"d08tbt64_trilha_campanha",2910,"EXTRACAO DE DADOS DO SID08",1192,"Eventual"
"d08tbt46_hstro_pcte_vrso",2910,"EXTRACAO DE DADOS DO SID08",1192,"Eventual"
"d08tbt45_hstro_pcte_trfa",2910,"EXTRACAO DE DADOS DO SID08",1192,"Eventual"
"d08tbt44_pcte_prdto_prpre",2910,"EXTRACAO DE DADOS DO SID08",1192,"Eventual"
"d08tbt36_hsttrfvrso",2910,"EXTRACAO DE DADOS DO SID08",1192,"Eventual"
"tab_talao",1038,"EXTRACAO DE DADOS DO SICEF",1189,"Eventual"
"tab_ocorr_acerto",1038,"EXTRACAO DE DADOS DO SICEF",1189,"Eventual"
"tab_mensagem_ocorrencias",1038,"EXTRACAO DE DADOS DO SICEF",1189,"Eventual"
"tab_historico_tarifas",1038,"EXTRACAO DE DADOS DO SICEF",1189,"Eventual"
"tab_historico_movimento",1038,"EXTRACAO DE DADOS DO SICEF",1189,"Eventual"
"tab_historico_indice_oprco",1038,"EXTRACAO DE DADOS DO SICEF",1189,"Eventual"
"tab_help",1038,"EXTRACAO DE DADOS DO SICEF",1189,"Eventual"
"tab_grupo_processamento",1038,"EXTRACAO DE DADOS DO SICEF",1189,"Eventual"
"tab_funcoes",1038,"EXTRACAO DE DADOS DO SICEF",1189,"Eventual"
"tab_fornecedor_talao",1038,"EXTRACAO DE DADOS DO SICEF",1189,"Eventual"
"tab_dep_judicial",1038,"EXTRACAO DE DADOS DO SICEF",1189,"Eventual"
"tab_central_digitacao",1038,"EXTRACAO DE DADOS DO SICEF",1189,"Eventual"
"tab_atividade_empresa",1038,"EXTRACAO DE DADOS DO SICEF",1189,"Eventual"
"tab102_sistema_historico",1038,"EXTRACAO DE DADOS DO SICEF",1189,"Eventual"
"tagtbi04_prcnodro",173,"EXTRACAO DE DADOS DO SITAG",1068,"* 0 0 * * ?"
"aoimq11_divida_contrato",3138,"EXTRACAO DE DADOS DO SIAOI",1008,"Eventual"
"decint007_operacao_credito",4,"HAWQ CARGA SISTEMA SIDEC",3004,"0 0 0 ? * 2-6 *"
"aoimq11_divida_contrato",3138,"HAWQ CARGA SISTEMA SIAOI",3008,"Eventual"
"autxtb08rprsntes",64,"EXTRACAO DE DADOS DO SIAUT",1090,"Eventual"
"auttbp24_log_atnco_mltpa",64,"EXTRACAO DE DADOS DO SIAUT",1090,"Eventual"
"auttbp18_tipoatnco",64,"EXTRACAO DE DADOS DO SIAUT",1090,"Eventual"
"auttbp16_logcnadso",64,"EXTRACAO DE DADOS DO SIAUT",1090,"Eventual"
"auttbp07_mvmtodro",64,"EXTRACAO DE DADOS DO SIAUT",1090,"Eventual"
"auttbh02_hstro_lncmo_poupanca",64,"EXTRACAO DE DADOS DO SIAUT",1090,"Eventual"
"atrtb081_atrzo_trnso_asnta",3040,"EXTRACAO DE DADOS DO SIATR",1105,"Eventual"
"atrtb022_teddoc",3040,"EXTRACAO DE DADOS DO SIATR",1105,"Eventual"
"atrtb019_exttocnl",3040,"EXTRACAO DE DADOS DO SIATR",1105,"Eventual"
"atrtb004_trilha_auditoria",3040,"EXTRACAO DE DADOS DO SIATR",1105,"Eventual"
"decint013_saldo_conta_hash",4,"EXTRACAO DE DADOS DO SIDEC",1160,"Eventual"
"sagtb100_mensagem_comprovante",3954,"EXTRACAO DE DADOS DO SISAG",3160,"Eventual"
"sagtb093_trnso_atnto_integrado",3954,"EXTRACAO DE DADOS DO SISAG",3160,"Eventual"
"cetxtb07prdtocesta",1396,"HAWQ CARGA SISTEMA SICET",3055,"Eventual"
"tagxtb03etapa",173,"HAWQ CARGA SISTEMA SITAG",3068,"* 0 0 * * ?"
"tagxtb02fase",173,"HAWQ CARGA SISTEMA SITAG",3068,"* 0 0 * * ?"
"tagtbi11_mensagem",173,"HAWQ CARGA SISTEMA SITAG",3068,"* 0 0 * * ?"
"tagtbi04_prcnodro",173,"HAWQ CARGA SISTEMA SITAG",3068,"* 0 0 * * ?"
"autxtb10logsican",64,"HAWQ CARGA SISTEMA SIAUT",3090,"Eventual"
"auttbp18_tipoatnco",64,"HAWQ CARGA SISTEMA SIAUT",3090,"Eventual"
"auttbp17_logdsctrf",64,"HAWQ CARGA SISTEMA SIAUT",3090,"Eventual"
"auttbp10_sldomvmto",64,"HAWQ CARGA SISTEMA SIAUT",3090,"Eventual"
"atrtb059_cntgmdoc",3040,"HAWQ CARGA SISTEMA SIATR",3105,"Eventual"
"atrtb058_cntgmtev",3040,"HAWQ CARGA SISTEMA SIATR",3105,"Eventual"
"atrtb039_evntoctbl",3040,"HAWQ CARGA SISTEMA SIATR",3105,"Eventual"
